brand,category,age,condition,usage_hours,original_price,resale_price
Mahindra,Cars,10,New,14600,687451,128332
Dell,Electronics,5,Poor,7300,134902,13511
Barbie,Kids,8,Good,11680,10033,1003
Urban Ladder,Furniture,6,Like New,8760,24752,2623
N/A,Books,1,Like New,1460,16836,9154
HP,Electronics,5,Poor,7300,100935,10093
Nike,Fashion,3,Good,4380,1292,176
N/A,Services,3,Like New,4380,3309,601
HotWheels,Kids,0,Like New,0,2905,2540
Acer,Electronics,9,Good,13140,98198,9819
FisherPrice,Kids,5,Fair,7300,14519,1451
N/A,Houses & Apartments,1,Good,1460,15746,6307
Vivo,Mobiles,9,Fair,13140,109028,10902
Urban Ladder,Furniture,6,Good,8760,27508,2750
Generic,Other,4,Good,5840,15350,1535
Wilson,Sports,8,Fair,11680,18762,1876
N/A,Houses & Apartments,10,Good,14600,8962,896
Urban Ladder,Furniture,8,Fair,11680,47542,4754
Lego,Kids,4,Good,5840,4950,495
Yamaha,Bikes,6,Good,8760,237152,68198
Acer,Electronics,0,Good,0,82110,53731
N/A,Books,5,New,7300,10738,1073
N/A,Books,0,Good,0,19942,13728
H&M,Fashion,7,Fair,10220,15923,1592
Levis,Fashion,0,Good,0,16286,10781
TVs,Bikes,9,Fair,13140,85861,9442
N/A,Services,5,Fair,7300,19002,1900
Nivia,Sports,5,Poor,7300,4635,463
Honda,Cars,10,New,14600,1909571,338353
FisherPrice,Kids,7,New,10220,8452,845
HotWheels,Kids,0,Fair,0,10643,5705
Bajaj,Bikes,3,Like New,4380,146889,82119
H&M,Fashion,8,Good,11680,7489,748
H&M,Fashion,7,Good,10220,13779,1377
Honda,Bikes,0,Fair,0,271407,146540
Generic,Other,1,Good,1460,12279,5290
Generic,Other,0,Good,0,17802,12394
Apple,Mobiles,7,Good,10220,109471,10947
Yamaha,Bikes,3,Like New,4380,127300,68116
LG,Electronics,1,Good,1460,63236,38533
Wilson,Sports,3,Like New,4380,3994,743
Nilkamal,Furniture,1,Fair,1460,8776,3043
FisherPrice,Kids,0,Fair,0,17705,8900
N/A,Services,6,New,8760,15177,1517
N/A,Books,0,Good,0,8230,5783
Wilson,Sports,8,Fair,11680,17008,1700
Generic,Other,7,New,10220,4076,407
Godrej,Furniture,5,Like New,7300,37719,5316
N/A,Services,10,Good,14600,8318,831
Hyundai,Cars,9,Like New,13140,1341196,269547
N/A,Services,9,Poor,13140,4569,456
Nilkamal,Furniture,10,Good,14600,37950,3795
Samsung,Electronics,9,Good,13140,161738,16173
Barbie,Kids,1,Poor,1460,11237,2151
H&M,Fashion,3,Fair,4380,7260,741
N/A,Services,2,Like New,2920,9078,2565
Samsung,Electronics,0,Fair,0,121193,56829
Nivia,Sports,7,Poor,10220,11567,1156
Yamaha,Bikes,9,New,13140,158147,37536
Lego,Kids,10,Good,14600,2551,255
Hero,Bikes,7,Good,10220,77519,15759
Decathlon,Sports,1,Like New,1460,5522,2950
Bajaj,Bikes,0,Good,0,234849,161821
Honda,Cars,8,Fair,11680,1451973,194179
N/A,Services,2,Good,2920,5212,1264
Yamaha,Bikes,2,Like New,2920,219820,131326
Samsung,Electronics,3,New,4380,138261,61310
Yonex,Sports,9,Poor,13140,4145,414
Realme,Mobiles,4,Like New,5840,139825,40171
Toyota,Cars,3,Fair,4380,1858597,581280
Apple,Mobiles,5,Fair,7300,99230,12284
N/A,Houses & Apartments,0,Poor,0,16277,5343
Hero,Bikes,10,Good,14600,203106,25992
N/A,Houses & Apartments,6,Good,8760,13718,1371
Nivia,Sports,10,Good,14600,8994,899
Bajaj,Bikes,0,Like New,0,163557,131932
Yonex,Sports,9,Good,13140,1435,143
Samsung,Mobiles,7,Good,10220,125852,12670
N/A,Houses & Apartments,6,Good,8760,2927,292
Wilson,Sports,1,Good,1460,15834,6103
N/A,Houses & Apartments,10,Poor,14600,7208,720
N/A,Services,9,Good,13140,14392,1439
Apple,Electronics,9,Fair,13140,174813,17481
Vivo,Mobiles,0,Good,0,54015,38697
Mahindra,Cars,6,New,8760,1865606,682053
Decathlon,Sports,2,Good,2920,19514,4729
Honda,Bikes,4,Like New,5840,231329,100196
Mahindra,Cars,6,Fair,8760,1769496,356847
Bajaj,Bikes,4,Fair,5840,275686,76275
Decathlon,Sports,6,New,8760,19391,1939
Generic,Other,2,Like New,2920,4409,1270
Nivia,Sports,6,Like New,8760,16703,1670
Puma,Fashion,0,New,0,7729,6728
Hero,Bikes,4,Like New,5840,226201,92592
Zara,Fashion,0,Like New,0,12399,9876
Nike,Fashion,5,Like New,7300,10986,1098
HotWheels,Kids,7,Like New,10220,10466,1046
N/A,Services,1,Good,1460,14434,6605
Asus,Electronics,10,Like New,14600,36771,3677
N/A,Services,3,Good,4380,18875,2786
Google,Mobiles,6,Fair,8760,78654,7865
FisherPrice,Kids,0,Poor,0,4430,1447
Generic,Other,8,Fair,11680,6893,689
Generic,Other,3,Like New,4380,14907,2839
N/A,Houses & Apartments,9,Like New,13140,15205,1520
Google,Mobiles,10,Good,14600,134956,13495
Barbie,Kids,4,Good,5840,18545,1854
HotWheels,Kids,9,Good,13140,10753,1075
Generic,Other,7,New,10220,8321,832
N/A,Services,1,New,1460,19745,10742
N/A,Books,9,Good,13140,14027,1402
N/A,Houses & Apartments,7,Fair,10220,1700,170
Generic,Other,4,Poor,5840,3799,379
N/A,Houses & Apartments,2,Good,2920,6632,1551
Acer,Electronics,0,Like New,0,116068,108300
Urban Ladder,Furniture,0,Fair,0,9300,5055
N/A,Services,1,Fair,1460,13294,3599
Nothing,Mobiles,10,Good,14600,61454,6145
Nivia,Sports,0,Good,0,11151,8507
Decathlon,Sports,8,Like New,11680,2028,202
Tata,Cars,3,Good,4380,553809,258681
Decathlon,Sports,9,Good,13140,8212,821
N/A,Services,0,Fair,0,7144,3381
HotWheels,Kids,4,Like New,5840,19421,2241
Decathlon,Sports,6,Poor,8760,8805,880
N/A,Books,7,Good,10220,17993,1799
Generic,Other,2,Good,2920,6253,1563
Local,Furniture,6,Good,8760,8931,893
N/A,Books,3,Good,4380,1613,241
N/A,Houses & Apartments,0,Poor,0,2614,853
Nilkamal,Furniture,9,Good,13140,49293,4929
N/A,Books,3,Good,4380,14093,2199
N/A,Services,7,Good,10220,9101,910
Honda,Cars,1,Good,1460,811948,481747
N/A,Services,7,Like New,10220,14185,1418
Godrej,Furniture,3,Fair,4380,26050,4252
Apple,Mobiles,4,Fair,5840,85161,13002
N/A,Services,1,Like New,1460,12228,6237
Samsung,Mobiles,0,Good,0,20193,13109
N/A,Houses & Apartments,3,Good,4380,13636,2032
Kia,Cars,0,Good,0,1709448,1114714
Yonex,Sports,3,Good,4380,10505,1467
Tata,Cars,9,Good,13140,1091425,182664
N/A,Books,4,Good,5840,2044,204
HotWheels,Kids,2,Good,2920,5004,1198
N/A,Houses & Apartments,10,Good,14600,19368,1936
LG,Electronics,9,Fair,13140,189867,18986
Nothing,Mobiles,8,Good,11680,67750,6775
Honda,Bikes,3,Like New,4380,211748,105203
LG,Electronics,5,New,7300,171877,51145
Xiaomi,Mobiles,1,Fair,1460,50190,16967
Nivia,Sports,3,New,4380,14938,2995
N/A,Books,4,Good,5840,17526,1752
TVs,Bikes,9,Fair,13140,255601,28751
Nilkamal,Furniture,5,Good,7300,25971,2856
N/A,Books,4,Good,5840,15028,1502
N/A,Houses & Apartments,10,Good,14600,7493,749
